Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
E540	47.118	-124.382	E540	C8	NA	Line4	day	undersat_arg	benthic	upper100	OCNMS	near	shelf	40.5	9.5	8	7.1	7.456	33.718	45.2	2269.6	2250.5	7.2372	NA	60.1	2.73	32.2	0.3	0.08	35.233	0.541233979	47.118	3.3	13150	2150	458	0	2470000	1730000	475000	1000
E543	47.115	-124.247	E543	C2_5	NA	Line4	day	oversat_arg	benthic	upper100	OCNMS	near	shelf	17.4	9.6	2.5	8.4	14.855	31.377	283	1928.5	2139.7	7.9747	NA	1.6	0.23	0	0.14	0.44	15.441	2.310980466	47.115	3.1	39700	2680	665	0	3980000	2100000	1080000	1000
E552	44.651	-125.365	E552	NH55	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	plain	2848.8	11.2	55	3.5	1.723	34.645	85.4	2385	2437.2	7.4587	68.62542898	192.1	2.98	39.3	0.03	0.06	1.824	0.514287316	44.651	NA	NA	NA	NA	NA	NA	NA	NA	1000
E555	44.653	-125.12	E555	NH45	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	slope	710.2	9.8	45	7.1	4.427	34.283	16.3	2348.9	2337.7	7.2839	45.06701001	108.4	3.25	42.9	0.03	0.05	4.828	0.506587885	44.653	NA	NA	NA	NA	NA	NA	NA	NA	1000
E560	44.652	-124.883	E560	NH35	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	slope	425.5	10.5	35	9.7	6.289	34.081	50	2280.7	2285.7	7.3274	44.35390099	67.5	2.81	37.1	0.09	0.05	24.892	0.602446376	44.652	NA	NA	NA	NA	NA	NA	NA	NA	1000
E561	44.652	-124.883	E561	NH35	NA	Line6	day	undersat_arg	pelagic	deep	waySouth	offshore	slope	297	139	35	9.8	6.827	34.033	64.9	2266	2278.6	7.3463	48.93332748	59.2	2.67	35.1	0.08	0.05	19.68	0.655775678	44.652	NA	NA	NA	NA	NA	NA	NA	NA	1000
E562	44.652	-124.883	E562	NH35	NA	Line6	day	undersat_arg	pelagic	deep	waySouth	offshore	slope	197.9	238.1	35	9.8	7.114	33.993	74.6	2253	2267	7.355	45.03600072	54.6	2.56	33.9	0.1	0.04	18.634	0.674459155	44.652	NA	NA	NA	NA	NA	NA	NA	NA	1000
E565	44.651	-124.777	E565	NH30	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	slope	245.4	11.6	30	12.8	6.94	34.014	67.3	2263.9	2272.2	7.3463	49.87541314	57.8	2.63	34.7	0.12	0.04	27.766	0.640396117	44.651	NA	NA	NA	NA	NA	NA	NA	NA	1000
E566	44.651	-124.777	E566	NH30	NA	Line6	day	undersat_arg	pelagic	deep	waySouth	offshore	slope	197.9	59.1	30	12.9	7.012	34.004	69.9	2260.5	2269.5	7.3525	50.15321108	56.4	2.6	34.3	0.1	0.05	28.473	0.64988785	44.651	NA	NA	NA	NA	NA	NA	NA	NA	1000
E569	44.653	-124.653	E569	NH25	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	slope	283.1	9.9	25	15	6.888	34.017	67.6	2261.6	2273.9	7.3511	50.51941763	57.8	2.63	34.8	0.12	0.04	24.251	0.655147991	44.653	NA	NA	NA	NA	NA	NA	NA	NA	1000
E570	44.653	-124.654	E570	NH25	NA	Line6	day	undersat_arg	pelagic	deep	waySouth	offshore	slope	199.4	93.6	25	15.1	7.036	34.002	74.2	2254.1	2269.2	7.3613	51.73674861	54.7	2.56	34.1	0.09	0.04	15.035	0.680063217	44.653	NA	NA	NA	NA	NA	NA	NA	NA	1000
E573.1B.PCR1	44.652	-124.297	E573	NH10	NA	Line6	night	undersat_arg	benthic	upper100	waySouth	near	shelf	70.4	10.6	10	5.7	7.345	33.91	40.3	2280.7	2267.1	7.2555	40.5630478	64.9	2.84	34.1	0.08	0.05	12.114	0.564935014	44.652	NA	NA	NA	NA	NA	NA	NA	NA	1000
